name,startDate,endDate,city,state,image,icon,website
hackJA,2017-10-20,2017-10-21,Edison,NJ,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/757/thumb/hackJA_logo.png?1505922562,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/757/thumb/hackJA_logo.png?1505922562,http://www.hackja.com/
SD Hacks,2017-10-20,2017-10-22,San Diego,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/709/thumb/Pasted_image_at_2017_07_27_03_09_PM.png?1501611070,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/709/thumb/SD_Hacks.png?1501611070,https://www.sdhacks.io/
VandyHacks,2017-10-20,2017-10-22,Nashville,TN,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/683/thumb/vandyhacks_splash.png?1500042805,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/683/thumb/vandyhacks_logo.png?1500042805,https://vandyhacks.org/
DubHacks,2017-10-21,2017-10-22,Seattle,WA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/710/thumb/DubHacks_Background_New.png?1501791040,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/710/thumb/DubHacks_Logo.png?1501685415,http://dubhacks.co/
ArchHacks 2017,2017-10-27,2017-10-29,St Louis,MO,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/759/thumb/Hillman-300x300.jpg?1505923409,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/759/thumb/arch_logo.jpg?1505923409,https://archhacks.io/
DemonHacks,2017-10-27,2017-10-29,Chicago,IL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/738/thumb/Hancock300x300.jpg?1504128184,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/738/thumb/DH100.png?1503933519,http://demonhacks.com/
GunnHacks 4.0,2017-10-27,2017-10-28,Palo Alto,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/763/thumb/gunnhacks_splash.jpg?1505924196,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/763/thumb/gunnhacks_logo.jpg?1505924196,https://gunnhacks.com/
Hack.The.Tie,2017-10-27,2017-10-28,Torreón,MX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/750/thumb/ualban.jpg?1504806487,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/750/thumb/hack_logo_100.jpg?1504806487,http://www.hacktt.com/
HackTheU,2017-10-27,2017-10-28,Salt Lake City,UT,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/741/thumb/300x_Splash.png?1503938716,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/741/thumb/100x_Logo.png?1503938716,http://hacktheu.com/
VolHacks,2017-10-27,2017-10-29,Knoxville,TN,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/758/thumb/volhacks_logo.jpg?1505923264,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/758/thumb/volhacks_splash.png?1505923263,https://volhacks.org/
